rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,day,month,year,match_id
0,riley,cowley,2,ballarat street,,laguna,4218,vic,,,,0
1,maddison,hiley,5,limestone avenue,lochenfels,cobram,6415,nsw,14,04,1921,1
2,thomas,roberts,49,fortescue place,dp 12750 talunga,leongatha,2911,qld,16,01,1907,2
3,nasyah,van der ploeg,395,kenyon circuit,,oakleigh,2515,,,,,3
4,zara,denne,19,,bestblock,kingsford,5290,sa,11,11,1911,4
5,alexander,tange,30,goessling place,,stockport,4703,vic,09,04,1974,5
6,ashleigh,,6,rechner place,,north ryde,3083,vic,16,06,1907,6
7,adam,walker,35,light street,grevillia,howrah,2480,,02,02,1922,7
8,noah,stafford-gaffney,30,altharoo court,gracedale manor,coogee,3065,nsw,28,11,1994,8
9,,ma,21,willcock place,,silvan,4702,qld,04,07,1940,9
10,lukas,mckenzie,103,east place,,padbury,2323,vic,11,01,1958,10
11,tara,reynolds,0,zincke close,rosalie,tuross head,5607,wa,19,09,1966,11
12,kaitlin,duigan,7,,bernau station,heathridge,3174,sa,19,06,1907,12
13,natassia,stokoe,67,hooper crescent,latrobe ret vill,ingle farm,4871,qld,13,02,1994,13
14,alison,petts,36,darwinia terrace,,ballarat,4131,qld,,,,14
15,hunter,helmers,56,pennefather street,,bradbury,2263,nsw,05,05,1993,15
16,kaitlyn,woods,23,woolls street,,omeo,4306,act,07,07,1990,16
17,nicholas,riley,15,evergood close,arila,glebe,3002,nsw,14,08,1982,17
18,harrison,pryor,28,davis street,banora village medical cntr (cnr darling,bracken ridge,3167,qld,30,11,1953,18
19,oliver,enthoven,10,dinnison circuit,levenbank nursing,chelsea,3931,vic,,,,19
20,oliver,jones,0,smeaton circuit,villanova aged hme,hoppers crossing,4218,,27,02,1984,20
21,zac,von stieglitz,41,allott place,,beaumaris,3148,,05,03,1945,21
22,kristin,sando,16,mulley street,,highton,7320,vic,21,10,1913,22
23,kyle,murray,130,downes place,north star caravn park,d'aguilar,3977,nsw,07,01,1998,23
24,,lane,118,derry street,island quays,south melbourne,3039,sa,22,10,1938,24
25,lachlan,canney,522,tillyard drive,kraywood,abbotsford,3953,nsw,15,02,1981,25
26,emma,van der heyden,50,hallstrom circuit,,caringbah,4611,wa,,,,26
27,mary,piotrowicz,26,eltham place,,safety bay,4878,vic,03,07,1942,27
28,dylan,,5,clarnette place,,hamlyn heights,2446,wa,21,10,1984,28
29,nathan,hankey,293,,carawatha,fernleigh,3018,qld,27,10,1986,29
30,taylah,guerin,12,mina wylie crescent,,wee waa,3913,wa,31,01,1932,30
31,shana,chenery,36,carss place,,mungar,6101,,17,10,1952,31
32,pino,treptow,16,kneebone street,,tamworth,2015,nsw,29,09,1921,32
33,imogen,,47,wangara street,,kings meadows,3407,sa,15,05,1917,33
34,sachin,kendall,27,sexton street,,singleton,3065,nsw,19,04,1923,34
35,tarshya,harris,324,julia flynn avenue,,coogee,2340,nsw,17,12,1933,35
36,courtney,gracey,90,carson street,petworth,broadmeadows,2340,qld,22,10,1976,36
37,thomas,tierney,75,wanganeen avenue,,hackham west,6015,nsw,18,01,1959,37
38,hannah,morris,42,howie court,merewether,alexandra,2257,qld,12,08,1981,38
39,callie,warren,3,sexton street,surfside park,inglewood,2540,nsw,29,05,1942,39
40,james,cresswell,104,arabana street,tesbury,takura,5355,nsw,16,05,1937,40
41,josephine,,48,monaro crescent,,broome,5168,nsw,21,09,1931,41
42,mitchell,clark,137,bonney street,regal lodge stables,safety beach,3222,vic,28,08,1992,42
43,daniel,meiklejohn,10,laker crescent,hobb's lane,shelly beach,5092,,26,11,1908,43
44,jeremiah,siedlaczek,22,leist street,willaroo,chelsea,3131,vic,16,01,1907,44
45,timothy,beechey,3,wongoola close,,coburg,2821,qld,06,04,1901,45
46,brooke,dorasamy,117,,sec 151,mildura,6061,wa,25,12,1949,46
47,isabelle,murphy,15,litchfield place,,,6056,nsw,12,03,1950,47
48,emiily,hill,6,mouat street,kariong medical centre (cnr langford d d,murray bridge,4122,,17,07,1999,48
49,kye,kelchner,48,gellibrand street,figtree grdns caravn park,georgetown,2099,wa,16,01,1970,49
50,brodie,george,29,gidabal street,,shearwater,2010,nsw,22,04,1924,50
51,ben,irwin,33,barritt street,,boronia,2117,,12,07,1912,51
52,joel,thompson,33,goyder street,kooroocheang road,mullumbimby,4341,,29,04,1911,52
53,alexa-rose,,14,brimage place,,cherrybrook,2340,sa,08,11,1941,53
54,benjamin,johnson,47,crozier circuit,merridong,castle hill,2720,nsw,01,11,1930,54
55,jacinta,quinn,21,ern florence crescent,,westleigh,4217,nsw,02,04,1903,55
56,jack,greatwich,440,o'connell street,,cabramatta west,5320,vic,07,08,1917,56
57,madeleine,bate,17,akhurst grove,wiltara,carrara,6006,wa,07,08,1924,57
58,benjamin,johnston,24,fihelly street,springfield,yagoona,4104,,09,05,1920,58
59,cooper,preston,64,maranboy street,tusca,randwick,2482,qld,30,03,1956,59
60,jasper,reardon,92,dooring street,,cranbourne,4105,vic,,,,60
61,stella,cole,50,erskine street,,glen huntly,3064,qld,14,07,1917,61
62,andrew,stewart,16,antis street,,kerang,3174,nsw,,,,62
63,ryan,langley,681,van raalte place,tumut river estate,bolwarra,2287,nsw,20,01,1931,63
64,finn,hagg,19,see place,,marrickville,3065,qld,29,07,1907,64
65,grace,xian,23,,,kippa-ring,3912,vic,02,03,1931,65
66,benjamin,lancaster,36,bellingham crescent,,ashgrove,6107,qld,08,10,1972,66
67,juliana,warner,84,dixon drive,,regents park,3340,,27,03,1920,67
68,joel,woolley,106,ahmatt street,,asquith,5158,sa,12,12,1961,68
69,chloe,allen,8,light street,,cadell,2176,nsw,,,,69
