rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
13520,riley,cowley,2,ballarat street,,laguna,4218,vic,,22,08 24225112,4731875,0
6650,maddison,hiley,5,limestone avenue,lochenfels,cobram,6415,nsw,19210414,38,07 30119605,7601582,2
16210,thomas,roberts,49,fortescue place,dp 12750 talunga,leongatha,2911,qld,19070116,40,03 20262854,9626371,1
16570,nasyah,van der ploeg,395,kenyon circuit,,oakleigh,2515,,,30,03 17942021,5336418,1
16060,zara,denne,19,,bestblock,kingsford,5290,sa,19111111,26,03 04972684,7990120,5
10840,alexander,tange,30,goessling place,,stockport,4703,vic,19740409,26,03 41920860,1589931,7
21640,ashleigh,,6,rechner place,,north ryde,3083,vic,19070616,30,04 09958044,7061197,1
22790,adam,walker,35,light street,grevillia,howrah,2480,,19220202,27,08 45886051,8830613,9
13370,noah,stafford-gaffney,30,altharoo court,gracedale manor,coogee,3065,nsw,19941128,30,08 99752138,1394927,6
5460,,ma,21,willcock place,,silvan,4702,qld,19400704,32,02 73772710,2797536,8
22870,lukas,mckenzie,103,east place,,padbury,2323,vic,19580111,25,02 64715788,8242469,8
21220,tara,reynolds,,zincke close,rosalie,tuross head,5607,wa,19660919,,02 61160525,9206659,5
15720,kaitlin,duigan,7,,bernau station,heathridge,3174,sa,19070619,20,02 46028323,3411276,2
16650,natassia,stokoe,67,hooper crescent,latrobe ret vill,ingle farm,4871,qld,19940213,25,08 08633475,7135126,6
5000,alison,petts,36,darwinia terrace,,ballarat,4131,qld,,29,02 46332414,2755718,3
16150,hunter,helmers,56,pennefather street,,bradbury,2263,nsw,19930505,31,03 34051723,7379935,9
2280,kaitlyn,woods,23,woolls street,,omeo,4306,act,19900707,34,04 32090813,4154925,3
22440,nicholas,riley,15,evergood close,arila,glebe,3002,nsw,19820814,25,02 23563952,4100352,3
8490,harrison,pryor,28,davis street,banora village medical cntr (cnr darling,bracken ridge,3167,qld,19531130,37,02 46801003,5439519,7
23050,oliver,enthoven,10,dinnison circuit,levenbank nursing,chelsea,3931,vic,,33,04 86255512,3319494,8
10110,oliver,jones,,smeaton circuit,villanova aged hme,hoppers crossing,4218,,19840227,27,03 52541442,8239522,0
19730,zac,von stieglitz,41,allott place,,beaumaris,3148,,19450305,,03 59572382,3075530,7
2260,kristin,sando,16,mulley street,,highton,7320,vic,19131021,,02 70611353,6222306,3
11400,kyle,murray,130,downes place,north star caravn park,d'aguilar,3977,nsw,19980107,22,08 76212506,4477257,7
2500,,lane,118,derry street,island quays,south melbourne,3039,sa,19381022,,04 89008915,2155341,9
17640,lachlan,canney,522,tillyard drive,kraywood,abbotsford,3953,nsw,19810215,37,02 00076384,1628176,3
4230,emma,van der heyden,50,hallstrom circuit,,caringbah,4611,wa,,28,03 98986613,9243827,8
23030,mary,piotrowicz,26,eltham place,,safety bay,4878,vic,19420703,27,02 63651583,6715099,8
9810,dylan,,5,clarnette place,,hamlyn heights,2446,wa,19841021,31,,1727182,6
18030,nathan,hankey,293,,carawatha,fernleigh,3018,qld,19861027,20,02 96107037,6782575,4
2410,taylah,guerin,12,mina wylie crescent,,wee waa,3913,wa,19320131,27,03 89918542,7039842,3
7160,shana,chenery,36,carss place,,mungar,6101,,19521017,31,02 95196474,2210837,6
12560,pino,treptow,16,kneebone street,,tamworth,2015,nsw,19210929,21,08 29507369,6202491,0
15880,imogen,,47,wangara street,,kings meadows,3407,sa,19170515,28,04 17383354,8528936,1
7210,sachin,kendall,27,sexton street,,singleton,3065,nsw,19230419,38,02 81895321,8614855,0
21950,tarshya,harris,324,julia flynn avenue,,coogee,2340,nsw,19331217,,08 07056115,4053166,3
23610,courtney,gracey,90,carson street,petworth,broadmeadows,2340,qld,19761022,20,08 09210437,1082046,3
16000,thomas,tierney,75,wanganeen avenue,,hackham west,6015,nsw,19590118,31,08 11854083,6219173,2
24200,hannah,morris,42,howie court,merewether,alexandra,2257,qld,19810812,,02 98690654,6696787,8
19220,callie,warren,3,sexton street,surfside park,inglewood,2540,nsw,19420529,,02 08053681,3115297,7
16180,james,cresswell,104,arabana street,tesbury,takura,5355,nsw,19370516,29,08 53453341,1050184,5
15410,josephine,,48,monaro crescent,,broome,5168,nsw,19310921,31,08 12317604,2161136,6
5800,mitchell,clark,137,bonney street,regal lodge stables,safety beach,3222,vic,19920828,24,,9564154,4
18460,daniel,meiklejohn,10,laker crescent,hobb's lane,shelly beach,5092,,19081126,35,04 68932940,9016173,0
10810,jeremiah,siedlaczek,22,leist street,willaroo,chelsea,3131,vic,19070116,24,04 73846641,6105765,2
4560,timothy,beechey,3,wongoola close,,coburg,2821,qld,19010406,24,08 17290725,6100229,2
16790,brooke,dorasamy,117,,sec 151,mildura,6061,wa,19491225,25,,4562365,1
150,isabelle,murphy,15,litchfield place,,,6056,nsw,19500312,36,07 04921159,9931346,0
9190,emiily,hill,6,mouat street,kariong medical centre (cnr langford d d,murray bridge,4122,,19990717,28,03 94710392,4035399,3
6730,kye,kelchner,48,gellibrand street,figtree grdns caravn park,georgetown,2099,wa,19700116,27,07 10985881,5628315,2
23560,brodie,george,29,gidabal street,,shearwater,2010,nsw,19240422,35,07 47921861,8489409,6
11230,ben,irwin,33,barritt street,,boronia,2117,,19120712,35,08 57645622,8421392,9
18480,joel,thompson,33,goyder street,kooroocheang road,mullumbimby,4341,,19110429,35,04 69718183,4903999,6
4830,alexa-rose,,14,brimage place,,cherrybrook,2340,sa,19411108,34,03 72195525,8893389,8
