rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,day,month,year,match_id
0,jenna,kilpin,179,mcfarlan place,,hillarys,2768,vic,26,02,1950,0
1,bianca,randazzo,37,lindrum crescent,sunshine,forster,2281,wa,07,04,1988,1
2,james,borlase,75,,rocklea,casula,2460,qld,03,09,1913,2
3,nicholas,beeton,20,mugga way,,hawthorn,2480,vic,22,06,1999,3
4,megan,footner,4,jewell close,,taylors lakes,3129,tas,22,09,1912,4
5,,brooks,61,lutana street,doora,ryde,2199,nsw,06,07,1965,5
6,kade,rowe,63,lyttleton crescent,,greenbank,2500,nsw,01,09,1983,6
7,chelsea,oswald,65,shearer place,lochiel,blackburn south,2611,nsw,13,08,1966,7
8,hayden,stringer,2,counsel street,,black rock,5231,qld,25,06,1924,8
9,riley,furner,4,symers street,blue horizon,seaton,4504,tas,,,,9
10,kristo,harney,11,groom street,,mount clarence,2326,vic,09,03,1907,10
11,ruben,kelly,4,hagen place,,young,5109,nsw,23,11,1905,11
12,luke,wells,6,barr-smith avenue,,mittagong,2023,vic,09,04,1931,12
13,alexa-rose,stevens,13,bee place,homelands van park,mill park,0,sa,24,08,1962,13
14,mikhayla,freeman,115,horrocks street,,whyalla stuart,2164,,02,07,1917,14
15,heath,blake,39,llewellyn crescent,,prospect,5043,qld,04,06,1992,15
16,thomas,graefe,186,yerra court,aprt 59,charlestown,3149,nsw,02,10,1989,16
17,claudia,brill,50,dash crescent,,heathmont,4065,wa,19,05,1921,17
18,tyrone,nolan,41,gellatly place,,kurrajong,2095,nsw,22,04,1929,18
19,andrew,cutting,52,twynam street,willowvale,mooroopna,3448,qld,28,03,1954,19
20,emiily,minuzzo,51,taroona place,,paraburdoo,3806,,29,05,1955,20
21,ashleigh,neil,40,caley crescent,glenrock,lindfield,830,,08,06,1954,21
22,jemma,magil,30,cornelian place,,morningside,2141,nt,24,12,1975,22
23,teagan,leiper,44,yagan place,karingal,punchbowl,2754,wa,03,11,1902,23
24,alexander,wigg,171,biraban place,maytom cottage,paralowie,7303,vic,12,07,1938,24
25,pearson,myers,115,wilkins street,mcalister,huntly,3064,nsw,26,08,1995,25
26,jayden,bache,8,cobby street,,altona north,4508,nsw,14,08,1924,26
27,jessica,hewish,175,withnell circuit,hillview,dandenong north,5085,vic,,,,27
28,jaden,shires,19,dyett circuit,austral farm,carrington,6160,vic,04,10,1902,28
29,chloe,harris,14,blamey crescent,,dapto,6044,nsw,21,11,1984,29
30,isabella,boon,4,wayal place,somerton,stafford,3205,wa,11,08,1976,30
31,joel,britcher,2,maribyrnong avenue,,hepburn springs,5158,nsw,16,11,1941,31
32,willow,schubert,100,ramage place,,urunga,2430,nsw,31,03,1936,32
33,brigitte,web,111,monaro crescent,,jindalee,4868,qld,06,02,1948,33
34,andrea,newport,86,padbury street,the meadows,carbrook,2162,vic,04,09,1943,34
35,erin,kennedy,0,elkington street,,georges hall,3342,nsw,25,04,1997,35
36,lauren,roberts,25,wakelin circuit,blakefield,mole creek,7015,wa,10,08,1944,36
37,stephanie,kozak,8,donnison place,,bexley,2193,nsw,26,11,1964,37
38,bianca,doudle,129,howitt street,,south yunderup,4816,,15,04,1930,38
39,xanthe,johnston,33,wirraway crescent,argyle square,bentleigh,2228,qld,21,09,1914,39
40,christina,wilkie,6,reader court,valley view,preston,6390,vic,26,04,1950,40
41,emiily,pennington,7,coghlan street,pioneer lodge,beverly hills,2619,qld,21,12,1945,41
42,jasmine,luke,36,roseworthy crescent,,vermont,0,,20,12,1934,42
43,katharine,stamos,10,ngunawal drive,forest view,barham,6432,sa,,,,43
44,bridget,franze,21,chewings street,,walcha,3104,nsw,21,03,1985,44
45,amy,savas,10,hayball place,buderim meadows,lalor park,3206,qld,03,06,1968,45
46,jacinta,gerace,84,lexcen avenue,,coorparoo,3550,qld,10,03,1931,46
47,danielle,douglas,191,,,seal rocks,4124,qld,,,,47
48,jack,ricketts,4,bungonia street,,lindisfarne,3123,nsw,30,05,1932,48
49,kyra,gamba,10,carandini street,,meadows,2141,qld,10,05,1941,49
50,madison,fahey,14,goldner circuit,lidia perin medical centre,morley,3756,qld,24,12,1918,50
51,timothy,eak,3,jabanungga avenue,greenslopes,sorrento,3205,nsw,23,06,1941,51
52,mia,kemp,3,teague street,,eastwood,6054,nsw,11,02,1944,52
53,adam,barry,252,fidler court,myla-myru,runaway bay,2290,act,15,10,1928,53
54,alana,papapavlou,3,leahy close,,balaklava,4014,vic,10,08,1934,54
55,benjamin,morgan,143,william hudson crescent,billabong,narraweena,5091,nsw,08,06,1998,55
56,layla,hart,50,hepburn place,,bunbury,3500,vic,07,04,1988,56
57,arabella,collingwood,10,kelleway avenue,,huonville,2607,vic,23,11,1941,57
58,riley,leonard,207,freda bennett circuit,villa 42,matraville,2570,vic,29,03,1966,58
59,sophie,cox,55,snowy place,glenelg,edmonton,3136,,06,12,1930,59
60,bodhi,mundy,3,appel crescent,,bull creek,4500,vic,02,06,1919,60
61,chloe,hodge,31,atherton street,,chermside,2320,nsw,27,02,1902,61
62,sonja,leicester,8,rich street,arlaroo,coonabarabran,5081,nsw,,,,62
63,joel,thurmer,39,glenelg street,,surry hills,2340,qld,16,09,1903,63
64,shantal,smith,7,bradfield street,collingwood,atwell,3803,qld,14,12,1964,64
65,zachary,hardwicke,2,a'beckett street,rosevale,hawthorn,5064,qld,,,,65
66,caitlin,ward,21,pullen street,woodrose,dover gardens,2064,sa,03,04,1998,66
67,erin,nichols,38,,,strathalbyn,4116,vic,14,04,1909,67
68,jayden,joseph,11,la perouse street,raafa estate,sunshine,5069,qld,,,,68
69,jordan,banks,26,o'sullivan street,mealiffee park,st marys,2104,,29,03,1910,69
70,william,aikman,12,fincham crescent,,portland,2800,nsw,18,07,1932,70
71,teneille,meade,76,mollison street,springdale 403r,thurgoona,2289,vic,21,08,1927,71
72,blake,ryan,61,lovelock court,angulong apartments,bathurst,3196,tas,06,01,1965,72
73,lachlan,mills,7,musgrave street,kingsley retirement village,monash,7050,wa,18,02,1908,73
74,annabel,eatts,19,mceachern crescent,,hastings,2774,wa,15,02,1983,74
75,noah,stephens,20,light street,,melba,2315,vic,14,03,1957,75
76,brianna,clarke,39,vogelsang place,byron bay specialist c centre,newtown,4171,nsw,14,11,1914,76
77,,peck,4,condamine street,,mornington,2261,vic,14,02,1983,77
78,joel,calvo,12,leakey place,,salisbury,4221,,20,08,1959,78
79,daniel,lewis,52,terry close,residential vllge,willetton,3130,nsw,08,01,1950,79
80,riley,riley,5,aspinall street,,glenunga,2745,qld,29,05,1954,80
81,zebediah,edwards,44,weathers street,,toowoomba,6157,vic,23,09,1957,81
82,samuel,jacometti,3,rowntree crescent,willow lodge,esperance,3280,qld,09,12,1964,82
83,holly,laws,5,blamey crescent,showcase on the beach,bribie island,5575,qld,08,04,1911,83
84,krystin,walnsley,86,croton street,killarloo,pascoe vale,2536,nsw,25,05,1917,84
85,katelyn,coulthard,88,kinleyside crescent,sit 9,werribee,5345,nsw,20,06,1981,85
86,adela,tieck,19,banambila street,the village,caboolture,3189,qld,14,07,1983,86
87,jaslyn,maitland,181,mcmillan crescent,phillip lodge,tewantin,4508,vic,,,,87
88,robert,sudsongsan,42,frankland street,bara park,rochester,4570,nsw,21,11,1945,88
89,sarah,davies,11,meyrick place,amber,wentworth falls,3355,vic,14,05,1912,89
90,phoebe,hughes,21,badimara street,depot office,bass hill,5088,vic,06,06,1977,90
91,lucas,cornelius,22,jemalong street,hillside,jerrabomberra,2230,sa,,,,91
92,,evans,965,pennefather street,hse 558,doonside,2604,,24,02,1978,92
93,jacqueline,heydarian,223,,,ingle farm,2759,nsw,19,08,1998,93
94,andrew,allen,81,pandanus street,,uralla,2062,vic,16,11,1957,94
95,adam,webb,48,cassinia street,warrie,oak flats,5048,qld,11,12,1915,95
96,christopher,east,2,angophora street,,belgrave,4570,nsw,02,10,1963,96
97,alicia,booker,80,bussell crescent,north jack,,2460,nsw,13,03,1963,97
98,adam,hofhuis,9,handasyde street,midway cottage,boat harbour,2341,nsw,28,07,1932,98
