rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,day,month,year,match_id
rec-1496-org,mitchell,green,7,wallaby place,delmar,cleveland,2119,sa,09,04,1956,-1
rec-552-dup-3,harley,mccarthy,177,pridhamstreet,milton,marsden,3165,nsw,19,04,1908,1402
rec-988-dup-1,madeline,mason,54,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,28,11,1908,1891
rec-1716-dup-1,isabelle,,23,gundulu place,currin ga,utakarra,2193,wa,19,11,1992,2889
rec-1213-org,taylor,hathaway,7,yuranigh court,brentwood vlge,,4220,nsw,07,12,1999,-1
rec-193-org,toby,webb,6,kent street,kersey' south,towradgi,3107,nsw,03,05,1994,-1
rec-264-dup-0,harry,stubs,0,mountain creek road,,eaton,7310,vic,13,11,1972,645
rec-1695-dup-3,lydia,mccattmhy,32,mckillop ecircuit,telemon orchards,corio,4670,nsw,20,12,1975,2700
rec-875-dup-0,hollie,lillie-hinrichs,27,hemmings crescent,kilvintonvillage,banyo,4030,,30,11,1925,1497
rec-1778-dup-1,dylan,zilm,17,blameycrescent,condinup,wattle glen,4211,vic,29,12,1967,794
rec-1696-dup-1,,donaldson,14,manity court,pacific terraces,charmhaven,3101,vic,25,08,1994,2185
rec-382-dup-0,isabella,vincent,16,wilshiredstreet,erinsavle,rose ay,6207,vic,17,05,1976,418
rec-442-dup-0,connor,bishop,27,jarreah,mackinnon street,aspley,6052,,17,04,1920,309
rec-1671-dup-0,connor,shepherd,39,burnage place,rowethorpe,winstonhills,3183,nsw,07,09,1932,555
rec-1816-dup-1,natalia,gredn,358,macrossan crescent,newman medicajl centre,yagoona,2535,qld,11,01,1991,1777
rec-459-dup-4,georgia,pettigrove,5,sinclair street,pinds,prairei,2478,nsw,19,10,1923,1853
rec-1881-dup-1,wilson,pitno,11,bousteadcircuit,jewells medical centre,granville,3161,qld,29,12,1997,2440
rec-729-org,andrew,klander,20,newman morris circuit,the willows,homebush,2285,vic,17,10,1976,0
rec-575-dup-1,tahni,skeen,11,macfarland crescent,,ryde,3220,,10,11,1923,1509
rec-1688-org,kasey,millar,0,burdekin avenue,crown allot,woollahra,4217,qld,14,07,1993,-1
rec-292-dup-0,keziah,parr,20,clift crecent,bro okvale,murphys rceek,2761,nsw,03,01,1955,161
rec-834-dup-0,braecon,schuetz,122,howarth place,villa 19,alice springs,2028,vic,09,09,1944,1828
rec-1943-dup-0,nemesia,grifefn,10,derrington c rescent,hd curramulka,beechboro,2262,nsw,09,05,1987,2424
rec-1611-dup-0,,white,21,boobialla street,sheep s tation,carlingford,2830,qld,14,12,1924,1375
rec-1706-dup-2,quilliam,ashleigh,57,bedford s treet,rosall,surrey hills,6525,nsw,30,07,1946,53
rec-462-org,jacqueline,daykin,21,mackie crescent,logan central plaza,pottsville beach,2213,qld,05,06,1951,-1
rec-1626-org,amelia,benger,51,macalister crescent,,sippy downs,4110,nsw,09,09,1942,-1
rec-408-dup-2,rily,gloster,24,farrerplace,,frankston,3178,nsw,24,01,1959,24
rec-1224-org,lily,thorpe,313,rivett place,thurlgona,mount gravatt,6104,wa,18,03,1931,1
rec-1561-dup-2,lary,slape,11,lamington street,rosehe ll,albany creek,6020,wa,27,09,1901,1957
rec-1723-dup-1,joshua,linnell,2,lambrigg treet,craigie ela garden,rowville,3185,qld,11,05,1948,2
rec-1723-org,joshua,linnell,2,lambrigg street,craigie lea garden,balwyn north,3185,qld,11,05,1948,4
rec-182-org,sophie,grubb,36,furphy place,mid city centre,cottles bridge,5091,qld,22,03,1923,-1
rec-1781-org,john,slywka,33,gowrie court,boxwood vale,north ward,6014,tas,03,08,1959,5
rec-1614-org,alexandra,robson,4,brunswick circuit,keith payne hstl,mount sophia,5024,nsw,26,07,1947,6
rec-885-org,stella,chandler,50,ebden street,rosetta village,coffs harbour,6304,vic,15,12,1974,11
rec-1690-dup-2,thomas,white,706,monaro crescent,birra billa,point lofsdale,2088,wa,18,08,1931,1668
rec-1217-dup-0,hannah,bloomfield,7,ferguson circuit,crown allotment,oakden,7253,nsw,06,08,1913,867
rec-1830-dup-2,,kochiwama,44,antares crescent,telopea p ark,benowa,7017,nsw,26,06,1900,2134
rec-208-org,lauren,bradshaw,130,ashcroft crescent,upa cottages,stirling north,2198,vic,22,10,1930,12
rec-32-dup-0,willow,froscio,378,yandastreet,,keilor,5022,vic,26,12,1909,2464
rec-799-org,sophie,nicolle,112,garling street,spring creek,kotara,4740,nt,01,10,1911,16
rec-729-dup-0,andrew,klander,20,newman morois circuit,the willows,homebush,2285,vic,17,10,1976,0
rec-856-dup-0,angus,stanley,6,lazar place,koobeja,floradhill,7008,qld,03,10,1997,764
rec-1128-org,jack,stubbs,150,heard street,summerset,st agnes,5344,qld,26,05,1989,21
rec-365-dup-1,matthew,leong,5,kavelstreet,glen-mwria,minchinbfry,6153,nsw,16,09,1917,1132
rec-885-dup-1,stella,chandler,50,ebden street,rosetta vlilage,coffs harbour,6304,vic,15,12,1974,7
rec-642-dup-2,katel byn,colegte,55,fiveas hstreet,retirement village,londonderry,2195,nsw,28,08,1928,2148
rec-854-dup-0,ebiny,morby,0,condavale,macgillivray street,armidale,2111,nsw,06,09,1984,1513
rec-421-dup-3,charlie,ebert,21,brewster place,summerdale medical centre,franskton,4570,vic,20,10,1971,73
rec-1560-dup-2,charlotte,hylnand,25,madsen place,leisure lvikng vlge,clarinda,3108,qld,10,04,1982,2097
rec-1929-dup-1,cheree,purtell,1,spring rsnge road,guest village (cnrubullcreek d drive,cooma,6111,wa,07,04,1930,2858
rec-1992-org,laura,ryan,3,officer crescent,craigie-lea,orange,2289,vic,02,04,1912,23
rec-1693-dup-1,feilcity,godfrey,16,stuckey place,oaklands village,slacks creek,6050,nsw,30,10,1936,1909
rec-665-dup-0,matthew,paine,7,mcintyre street,urunga,moulyinning,7000,nws,17,01,1925,1437
rec-501-org,mikhayla,campbell,9,baynton street,st francis vlge,notting hill,4350,qld,11,07,1928,-1
rec-1057-dup-2,charlie,roussonuis,13,gledden street,woorabinda,craigmore,6026,nsw,11,11,1946,1732
rec-561-dup-1,dale,fimeri,37,burdett crescent,star court arcade,wilson,6618,nsw,29,05,1993,2908
rec-540-dup-2,jaime,,342,elliott street,kildarra,bedfordale,2081,qld,10,11,1963,2788
rec-408-org,riley,gloster,24,farrer place,,frankston,3178,nsw,24,01,1959,26
rec-636-dup-3,charlie,goode,7,tauss place,grahdview,,2575,vic,13,12,1976,2143
rec-918-dup-1,chloe,pantazopoulos,147,allott place,wyoming park,aldgate,2325,nsw,07,08,1986,1572
rec-929-org,corey,condo,5,andamooka street,coolinda,hillston,2026,nsw,16,06,1990,28
rec-1489-org,emiily,berry,3,tenison-woods circuit,,ashfield,6169,nsw,27,05,1978,31
rec-427-dup-3,emmet,weller,11,copland drive,,birmingham gardens,4365,wa,16,05,1927,2626
rec-15-org,liam,tuttleby,5,verco street,rose-lea,trevallyn,2259,qld,01,01,1908,-1
rec-316-dup-0,karfissa,creten,185,beattie cescent,birrabilla,moranbah,2525,nsw,03,07,1936,1611
rec-1498-dup-0,isabelle,kaminskas,106,isis close,westholme,port augusta,2765,qls,22,06,1906,937
rec-910-dup-1,jayden,browne,80,kincumber nautical vlge,chaseling street,sussex inlet,2630,nsw,06,03,1943,1759
rec-1355-org,melissa,lanzotti,24,balfour crescent,killara lodge,cranbourne,2064,vic,28,08,1981,32
rec-1648-dup-0,bailee,dent,58,maddoc k place,jingara,nowra,4171,qld,12,01,1995,383
rec-658-dup-1,quinn,godfrey,21,duffy street,ardersidr,highotn,3165,vic,22,01,1945,1226
rec-1190-dup-1,charlie,stanley,0,amagula avenue,,klemzig,3356,vic,17,07,1951,975
rec-1876-dup-0,jazz,stephenson,210,julia flynn avenue,,ingleubrn,3172,sa,14,12,1940,1002
rec-305-org,aleisha,mcelwee,34,osburn drive,parraweena,condell park,5237,act,25,05,1944,34
rec-152-org,amber,blackwell,25,thomson street,,salisbury,3188,nsw,25,03,1986,37
